Day	Topic	            What to Do (Checklist)	                        Output
1	API Basics	        Learn API testing purpose, REST, client-server	Understand API flow
2	HTTP Concepts	    Learn HTTP methods, status codes, headers	    Status code clarity
3	Postman Intro	    Install Postman, test GET APIs	                Successful GET request
4	Postman CRUD	    POST, PUT, DELETE using ReqRes	                CRUD manually tested
5	JSON Basics	        Objects, arrays, nested JSON	                JSON reading confidence
6	API Test Cases	    Write positive & negative API test cases	    Test case document
7	Java Refresh	    Collections, Map, List, loops	                Java ready for APIs
8	Maven Setup	        Create Maven project, add Rest Assured	        Project runs
9	First API Test	    Write GET API test using Rest Assured	        First test passed
10	HTTP Methods	    Automate POST, PUT, DELETE	                    CRUD automated
11	Params & Headers	Query, path params, headers	                    Dynamic requests
12	Response Validation	Validate body, headers, JSON fields	            Strong assertions
13	JSON Parsing	    jsonPath, nested response validation	        JSON extraction
14	POJO	            Serialization & deserialization	                Clean request/response
15	Authentication	    Basic Auth, Bearer Token	                    Auth APIs tested
16	JWT Tokens	        Generate & pass JWT dynamically	                Secure API tested
17	API Chaining	    Extract ID → use in next request	            End-to-end flow
18	Framework Design	BaseTest, config, utilities	                    Reusable framework
19	Request Spec	    RequestSpecification & ResponseSpec	            Code optimized
20	Negative Testing	Invalid payload, missing headers	            Error handling
21	Edge Cases	        Boundary values, null checks	                Robust tests
22	Logging	            Log request & response	                        Easy debugging
23	Reporting	        Integrate Allure/Extent	                        Test report generated
24	Maven Commands	    Run tests via mvn	                            CLI execution
25	Env Handling	    Profiles, env-based configs                 	Multi-env support
26	CI/CD Intro	        Jenkins/GitHub Actions basics	                Pipeline knowledge
27	CI Setup	        Run API tests in CI	                            Automated execution
28	API Strategy	    Test pyramid, best practices	                Design clarity
29	Interview Qs	    Prepare API interview Q&A	                    Interview ready
30	Revision	        Revise framework & concepts	                    Confidence boost
